timestamp, IGNORE, OPEN, HIGH, LOW, CLOSE, IGNORE, VOL
2018-11-24 02-PM,BTCUSD,4239.7,4259.9,4239.6,4243.3,109.85,466729.37
2018-11-24 01-PM,BTCUSD,4250.8,4253.3,4239.3,4239.7,55.82,237133.32
2018-11-24 12-PM,BTCUSD,4259.6,4265.6,4215,4250.8,162.89,691148.82
2018-11-24 11-AM,BTCUSD,4251.3,4270,4233.8,4259.6,126.94,539466.14
2018-11-24 10-AM,BTCUSD,4308.1,4308.1,4251.3,4251.3,115.03,491720.07
2018-11-24 09-AM,BTCUSD,4291.8,4322.2,4261.1,4308.1,206.22,883236.07
2018-11-24 08-AM,BTCUSD,4266,4291.8,4265.7,4291.8,213.24,912565.68
2018-11-24 07-AM,BTCUSD,4276.6,4276.6,4231.2,4266,146.74,623784.31
2018-11-24 06-AM,BTCUSD,4272.8,4281.3,4263.2,4276.6,33.12,141540.88
2018-11-24 05-AM,BTCUSD,4301.3,4301.3,4252.7,4272.8,114.44,488842.13
2018-11-24 04-AM,BTCUSD,4299.2,4321,4297.6,4301.3,105.51,454916.54
2018-11-24 03-AM,BTCUSD,4295.7,4313.8,4292,4299.2,53.11,228532.01
2018-11-24 02-AM,BTCUSD,4337.7,4350.4,4293.9,4295.7,185.96,804312.1
2018-11-24 01-AM,BTCUSD,4346.9,4350.7,4309.2,4337.7,276.14,1197400.15
2018-11-24 12-AM,BTCUSD,4286.4,4373.2,4286.2,4346.9,290.37,1258674.41
2018-11-23 11-PM,BTCUSD,4322.1,4330.8,4280,4286.4,223.35,959777.01
2018-11-23 10-PM,BTCUSD,4259.9,4347.7,4242.1,4322.1,348.34,1494511.53
2018-11-23 09-PM,BTCUSD,4214.5,4273.4,4214.5,4259.9,227.74,966354.73
2018-11-23 08-PM,BTCUSD,4235,4241.8,4203.4,4214.5,243.36,1027847.08
2018-11-23 07-PM,BTCUSD,4227.6,4279,4211.2,4235,201.24,852091.72
2018-11-23 06-PM,BTCUSD,4215,4243.6,4204,4227.6,139.24,587184.66
2018-11-23 05-PM,BTCUSD,4230,4240,4171.9,4215,368.71,1553169.65
2018-11-23 04-PM,BTCUSD,4275,4285,4191.5,4230,387.07,1640469.23
2018-11-23 03-PM,BTCUSD,4289.4,4301,4262.7,4275,202.75,866816.87
2018-11-23 02-PM,BTCUSD,4259.7,4300.5,4252.2,4289.4,273.68,1168475.21
2018-11-23 01-PM,BTCUSD,4254.7,4282,4230.5,4259.7,207.14,882175.33
2018-11-23 12-PM,BTCUSD,4291.4,4308.3,4239.9,4254.7,189.84,811102.73
2018-11-23 11-AM,BTCUSD,4291.7,4300.4,4260.8,4291.4,192.65,824624.97
2018-11-23 10-AM,BTCUSD,4302.9,4339.7,4277.6,4291.7,228.4,984893.94
2018-11-23 09-AM,BTCUSD,4282.8,4364.8,4282.8,4302.9,526.01,2276615.2
2018-11-23 08-AM,BTCUSD,4221.7,4285.8,4221.7,4282.8,211.13,897021.34
2018-11-23 07-AM,BTCUSD,4255,4295.6,4221.7,4221.7,193.58,825224.39
2018-11-23 06-AM,BTCUSD,4220,4265.5,4204.9,4255,279.34,1179676.95
2018-11-23 05-AM,BTCUSD,4187.6,4255.1,4089.4,4220,1345.24,5608504.65
2018-11-23 04-AM,BTCUSD,4211.9,4229.3,4159.9,4187.6,340.09,1424872.2
2018-11-23 03-AM,BTCUSD,4186.9,4281,4182.7,4211.9,559.74,2372945.59
